date,Algeria ra7_value,Algeria value,Azerbaijan ra7_value,Azerbaijan value,Libya ra7_value,Libya value,LNG ra7_value,LNG value,NA ra7_value,NA value,Norway ra7_value,Norway value,Russia ra7_value,Russia value
2020-12-31T23:00:00Z,NA,113.8430199,NA,11.7924938,NA,8.7609563,NA,151.11542599,NA,37.1088623,NA,390.4019015802,NA,352.09425283310003
2021-01-01T23:00:00Z,NA,105.4308584,NA,11.7589629,NA,8.7921443,NA,150.01686011,NA,43.0686317,NA,391.9184741434,NA,350.7328456
2021-01-02T23:00:00Z,NA,85.343032,NA,13.5182842,NA,8.7743348,NA,147.75633606,NA,53.2062263,NA,384.5444825762,NA,354.0764757
2021-01-03T23:00:00Z,NA,70.0686688,NA,13.5188596,NA,9.3102516,NA,168.06985694,NA,66.5061421,NA,380.943696526,NA,354.3379499783
2021-01-04T23:00:00Z,NA,68.5970146,NA,15.2111416,NA,8.759234,NA,157.80097772,NA,71.1816759,NA,381.2661507684,NA,364.05037131759997
2021-01-05T23:00:00Z,NA,66.437718,NA,16.190293,NA,7.6636702,NA,163.58017689,NA,73.0012592,NA,378.4074878984,NA,359.7940427062
2021-01-06T23:00:00Z,NA,77.063358,NA,16.2756518,NA,8.7563527,NA,168.55826109,NA,107.1404011,NA,371.5801256676,NA,366.4189113
2021-01-07T23:00:00Z,NA,102.6742627,NA,16.1753822,NA,8.7628886,NA,166.11869251,NA,69.5355431,NA,381.6042703854,NA,372.2478382
2021-01-08T23:00:00Z,NA,124.0249117,NA,16.0980184,NA,8.7606148,NA,121.99238808,NA,55.2972901,NA,384.4638032622,NA,370.5527256
2021-01-09T23:00:00Z,NA,125.36224480000001,NA,16.1237619,NA,9.8627759,NA,112.11234716,NA,47.9089087,NA,392.4162865189,NA,368.0448278996
2021-01-10T23:00:00Z,NA,122.814851,NA,16.0803233,NA,13.6533505,NA,122.52201434,NA,60.3320163,NA,387.9068573718,NA,373.280873838
2021-01-11T23:00:00Z,NA,102.1562904,NA,16.1718517,NA,14.2048332,NA,131.85536459,NA,80.6807075,NA,393.9703199687,NA,374.8104921
2021-01-12T23:00:00Z,NA,91.8254874,NA,16.1725055,NA,12.551851600000001,NA,128.67358875,NA,79.529973,NA,396.1579347491,NA,378.8421383
2021-01-13T23:00:00Z,96.20360259285712,91.2087186,15.089844714285714,16.1702961,9.96580265,10.9079786,144.58154783714284,133.96937949,65.35548038571429,70.4790881,386.6872696585643,398.0399838036,366.02096779805703,385.0098038
2021-01-14T23:00:00Z,95.47230119285713,103.6048003,15.403513107142857,16.1838513,10.003092685714288,9.2830168,143.0208040528571,129.26501301,67.71445653571429,70.1345284,386.1157741053929,382.4009638358,369.0321449518928,394.2507329868
2021-01-15T23:00:00Z,95.98544522142856,112.6148748,15.71888492142857,16.1741683,9.80352320714286,5.9981716,141.08700786428568,122.94371347,68.13750557142859,48.9913182,385.46385964350713,382.791671677,372.0826400918213,393.439777559
2021-01-16T23:00:00Z,97.85855066428572,111.5665082,15.907820207142857,16.1633782,9.837896885714288,9.2555663,138.9195029192857,117.41126683,67.49820702142858,44.2560466,386.3549884660643,397.020286092,374.93812423467847,394.0532537
2021-01-17T23:00:00Z,100.3992875142857,105.6389847,16.098451585714283,16.1876989,9.873333907142861,9.8063699,136.5158331592857,134.4184803,67.33823684285714,64.2665596,387.28652958075,393.9852721316,377.8128624790856,394.5842854
2021-01-18T23:00:00Z,102.72381422142857,101.1403885,16.16722112857143,16.1739152,9.832362385714289,8.1856327,134.34352594142857,127.38867667,66.49388832142857,59.3607966,388.40858203830715,396.9748851742,379.87016810639983,392.8526501
2021-01-19T23:00:00Z,105.27264357857143,102.121329,16.16558422857143,16.1673764,9.868508521428572,8.1697161,131.87740166571425,129.05443703,64.79494274285715,49.2160211,389.35930799352855,391.7176512715,381.80069005466413,386.8213499819
2021-01-20T23:00:00Z,106.47897322142856,93.951973,16.157604678571428,16.1639381,9.826271021428571,8.1650277,129.20953092142855,131.20807067,60.73815080000001,50.3453139,389.4531452456071,372.8938471967,383.26894693312124,386.9745075984
2021-01-21T23:00:00Z,105.58529433571427,90.16275830000001,16.157419835714286,16.1727944,9.861825064285714,9.2606452,125.75640115142855,117.77487572999999,58.78870117142857,42.2432483,389.6967851120643,385.0152285158,383.9111510616927,381.238696
2021-01-22T23:00:00Z,104.1061990285714,103.3175774,16.16891500714286,16.2589508,9.819304607142856,8.1653284,124.96087203571426,110.85498046,57.716014864285725,40.2796818,389.5589021953786,382.5334424286,384.2043426259784,374.6574075
2021-01-23T23:00:00Z,102.91908303571425,108.7426209,16.17511197857143,16.2105195,9.698356764285714,8.1695061,125.29313841285713,116.76407644,56.59464182857143,32.2096862,385.41394278754996,334.3868548093,384.60776963314987,373.692806
2021-01-24T23:00:00Z,101.99652277142853,109.8990073,16.18847990714286,16.2674743,9.577846842857143,11.9662116,126.69046765071427,142.08462367,55.43632399285715,44.1155666,384.58882395896427,376.3551937716,385.11702329477845,380.4104251008
2021-01-25T23:00:00Z,103.12136444285711,117.9040738,16.204349621428573,16.3940277,9.41852497857143,11.9743271,129.02151225785713,164.48998909,52.759260114285716,43.2018132,383.96307972534277,385.209900698,385.7233732245213,383.2993911164
