"","siec","geo","country_name_nl","pct","dep_perc"
"1","Natural gas","Belgium","België",7.844335602937,27.9634671095537
"2","Natural gas","France","Frankrijk",19.3502263210489,16.8179904900779
"3","Natural gas","Germany","Duitsland",48.7937197135971,25.7256278196101
"4","Natural gas","Hungary","Hongarije",95.0018769775299,37.9380332189771
"5","Natural gas","Italy","Italië",47.0685611414467,41.5459631676325
"6","Natural gas","Netherlands","Nederland",27.3307213477166,39.0238123028208
"7","Natural gas","Poland","Polen",54.3468149821218,19.3389623460298
"8","Natural gas","Portugal","Portugal",1.60058208976619,23.1385122946842
"9","Natural gas","Romania","Roemenië",36.9103105026646,30.6082616564108
"10","Natural gas","Spain","Spanje",8.51406917681206,23.4678756394039
"11","Natural gas","United Kingdom","Verenigd Koninkrijk",6.71199600965354,37.8537312016937
